code,name_en,name_zh,name_zh_tw,category,type_raw,tier,durability,damage_min,damage_max,damage_avg,reqstr,reqdex,qlvl,max_sockets,sockets3,speed,rangeadder,img
tsp,Throwing Spear,飞矛,飛矛,标枪,jave,普通,6,5,15,10.0,0,65,29,4,1/2/3,-10,2,assets/equipment/throwing_spear.webp
spr,Spear,长矛,長矛,长矛,spea,普通,30,3,15,9.0,0,20,5,3,3/3/3,-10,3,assets/equipment/spear.webp
tri,Trident,三叉戟,三叉戟,长矛,spea,普通,35,9,15,12.0,38,24,9,4,3/4/4,0,3,assets/equipment/trident.webp
brn,Brandistock,三叉枪,三叉槍,长矛,spea,普通,28,7,17,12.0,40,50,16,5,3/4/5,-20,4,assets/equipment/brandistock.webp
spt,Spetum,勾刃枪,勾刃槍,长矛,spea,普通,28,15,23,19.0,54,35,20,6,3/4/6,0,4,assets/equipment/spetum.webp
pik,Pike,步战矛,步戰矛,长矛,spea,普通,25,14,63,38.5,60,45,24,6,3/4/6,20,4,assets/equipment/pike.webp
bar,Bardiche,月牙砍刀,月牙砍刀,长柄武器,pole,普通,50,1,27,14.0,40,0,5,3,3/3/3,10,2,assets/equipment/bardiche.webp
vou,Voulge,枪斧,槍斧,长柄武器,pole,普通,50,6,21,13.5,50,0,11,4,3/4/4,0,2,assets/equipment/voulge.webp
scy,Scythe,镰刀,鐮刀,长柄武器,pole,普通,65,8,20,14.0,41,41,15,5,3/4/5,-10,1,assets/equipment/scythe.webp
pax,Poleaxe,长柄斧,長柄斧,长柄武器,pole,普通,65,18,39,28.5,62,0,21,5,3/4/5,10,3,assets/equipment/poleaxe.webp
hal,Halberd,长戟,長戟,长柄武器,pole,普通,55,12,45,28.5,75,47,29,6,3/4/6,0,4,assets/equipment/halberd.webp
wsc,War Scythe,征战镰刀,征戰鐮刀,长柄武器,pole,普通,55,15,36,25.5,80,80,34,6,3/4/6,-10,4,assets/equipment/war_scythe.webp
sst,Short Staff,短杖,短杖,法杖,staf,普通,20,1,5,3.0,0,0,1,2,2/2/2,-10,1,assets/equipment/short_staff.webp
lst,Long Staff,长杖,長杖,法杖,staf,普通,30,2,8,5.0,0,0,8,3,3/3/3,0,1,assets/equipment/long_staff.webp
cst,Gnarled Staff,木节法杖,木節法杖,法杖,staf,普通,35,4,12,8.0,0,0,12,4,4/4/4,10,1,assets/equipment/gnarled_staff.webp
bst,Battle Staff,战斗法杖,戰鬥法杖,法杖,staf,普通,40,6,13,9.5,0,0,17,4,4/4/4,0,1,assets/equipment/battle_staff.webp
wst,War Staff,征战法杖,征戰法杖,法杖,staf,普通,50,12,28,20.0,0,0,24,6,5/6/6,20,1,assets/equipment/war_staff.webp
sbw,Short Bow,短弓,短弓,弓,bow,普通,20,1,4,2.5,0,15,1,3,3/3/3,5,0,assets/equipment/short_bow.webp
hbw,Hunter's Bow,猎弓,獵弓,弓,bow,普通,32,2,6,4.0,0,28,5,4,3/4/4,-10,0,assets/equipment/hunters_bow.webp
lbw,Long Bow,长弓,長弓,弓,bow,普通,28,3,10,6.5,22,19,8,5,3/4/5,0,0,assets/equipment/long_bow.webp
cbw,Composite Bow,复合弓,複合弓,弓,bow,普通,36,4,8,6.0,25,35,12,4,3/4/4,-10,0,assets/equipment/composite_bow.webp
sbb,Short Battle Bow,战斗短弓,戰鬥短弓,弓,bow,普通,40,5,11,8.0,30,40,18,5,3/4/5,0,0,assets/equipment/short_battle_bow.webp
lbb,Long Battle Bow,战斗长弓,戰鬥長弓,弓,bow,普通,44,3,18,10.5,40,50,23,6,3/4/6,10,0,assets/equipment/long_battle_bow.webp
swb,Short War Bow,征战短弓,征戰短弓,弓,bow,普通,48,6,14,10.0,35,55,27,5,3/4/5,0,0,assets/equipment/short_war_bow.webp
lwb,Long War Bow,征战长弓,征戰長弓,弓,bow,普通,55,3,23,13.0,50,65,31,6,3/4/6,10,0,assets/equipment/long_war_bow.webp
lxb,Light Crossbow,轻弩,輕弩,弩,xbow,普通,30,6,9,7.5,21,27,6,3,3/3/3,-10,0,assets/equipment/light_crossbow.webp
mxb,Crossbow,弩,弩,弩,xbow,普通,40,9,16,12.5,40,33,15,4,3/4/4,0,0,assets/equipment/crossbow.webp
hxb,Heavy Crossbow,重弩,重弩,弩,xbow,普通,50,14,26,20.0,60,40,24,6,3/4/6,10,0,assets/equipment/heavy_crossbow.webp
rxb,Repeating Crossbow,连弩,連弩,弩,xbow,普通,40,6,12,9.0,40,50,33,5,3/4/5,-40,0,assets/equipment/repeating_crossbow.webp
9ha,Hatchet,短斧,短斧,斧,axe,扩展,28,10,21,15.5,25,25,31,2,2/2/2,0,0,assets/equipment/hand_axe.webp
9ax,Cleaver,斩斧,斬斧,斧,axe,扩展,24,10,33,21.5,68,0,34,4,4/4/4,10,1,assets/equipment/axe.webp
92a,Twin Axe,双面斧,雙面斧,斧,axe,扩展,24,13,38,25.5,85,0,39,5,4/5/5,10,1,assets/equipment/double_axe.webp
9mp,Crowbill,鸦嘴镐,鴉嘴鎬,斧,axe,扩展,26,14,34,24.0,94,70,43,6,4/5/6,-10,1,assets/equipment/military_pick.webp
9wa,Naga,那伽斧,那伽斧,斧,axe,扩展,26,16,45,30.5,121,0,48,6,4/5/6,0,2,assets/equipment/war_axe.webp
9la,Military Axe,军斧,軍斧,斧,axe,扩展,30,14,34,24.0,73,0,34,4,4/4/4,-10,1,assets/equipment/large_axe.webp
9ba,Bearded Axe,钩斧,鉤斧,斧,axe,扩展,35,21,49,35.0,92,0,38,5,4/5/5,0,1,assets/equipment/broad_axe.webp
9bt,Tabar,长战斧,長戰斧,斧,axe,扩展,40,24,77,50.5,101,0,42,5,4/5/5,10,1,assets/equipment/battle_axe.webp
9ga,Gothic Axe,哥德斧,哥德斧,斧,axe,扩展,50,18,70,44.0,115,79,46,6,4/5/6,-10,2,assets/equipment/great_axe.webp
9gi,Ancient Axe,上古斧,上古斧,斧,axe,扩展,50,43,85,64.0,125,0,51,6,4/5/6,10,3,assets/equipment/giant_axe.webp
9wn,Burnt Wand,焦木魔杖,焦木魔杖,魔杖,wand,扩展,15,8,18,13.0,25,0,31,1,1/1/1,0,0,assets/equipment/wand.webp
9yw,Petrified Wand,石木魔杖,石木魔杖,魔杖,wand,扩展,15,8,24,16.0,25,0,38,2,2/2/2,10,0,assets/equipment/yew_wand.webp
9bw,Tomb Wand,古墓魔杖,古墓魔杖,魔杖,wand,扩展,15,10,22,16.0,25,0,43,2,2/2/2,-20,0,assets/equipment/bone_wand.webp
9gw,Grave Wand,墓地魔杖,墓地魔杖,魔杖,wand,扩展,15,13,29,21.0,25,0,49,2,2/2/2,0,0,assets/equipment/grim_wand.webp
9cl,Cudgel,斗棍,鬥棍,棍棒,club,扩展,24,6,21,13.5,25,0,30,2,2/2/2,-10,0,assets/equipment/club.webp
9sc,Rune Scepter,符文权杖,符文權杖,权杖,scep,扩展,50,13,24,18.5,58,0,31,2,2/2/2,0,0,assets/equipment/scepter.webp
9qs,Holy Water Sprinkler,圣水礼杖,聖水禮杖,权杖,scep,扩展,60,14,36,25.0,76,0,40,3,3/3/3,10,1,assets/equipment/grand_scepter.webp
9ws,Divine Scepter,圣恩权杖,聖恩權杖,权杖,scep,扩展,70,16,38,27.0,103,0,45,5,3/5/5,-10,1,assets/equipment/war_scepter.webp
9sp,Barbed Club,倒刺棍棒,倒刺棍棒,棍棒,club,扩展,36,13,25,19.0,30,0,32,3,3/3/3,0,1,assets/equipment/spiked_club.webp
9ma,Flanged Mace,凸缘钉锤,凸緣釘鎚,钉头锤,mace,扩展,60,15,23,19.0,61,0,35,2,2/2/2,0,0,assets/equipment/mace.webp
9mt,Jagged Star,锯齿钉头锤,鋸齒釘頭鎚,钉头锤,mace,扩展,72,20,31,25.5,74,0,39,3,3/3/3,10,1,assets/equipment/morning_star.webp
9fl,Knout,刑罪连枷,刑罪連枷,钉头锤,mace,扩展,30,13,35,24.0,82,73,43,5,3/4/5,-10,2,assets/equipment/flail.webp
9wh,Battle Hammer,战斗铁锤,戰鬥鐵鎚,锤,hamm,扩展,55,35,58,46.5,100,0,48,4,3/4/4,20,0,assets/equipment/war_hammer.webp
9m9,War Club,征战重锤,征戰重鎚,锤,hamm,扩展,60,53,78,65.5,124,0,45,6,3/4/6,10,1,assets/equipment/maul.webp
9gm,Martel de Fer,长柄战锤,長柄戰鎚,锤,hamm,扩展,60,61,99,80.0,169,0,53,6,3/4/6,20,2,assets/equipment/great_maul.webp
9ss,Gladius,罗马短剑,羅馬短劍,剑,swor,扩展,24,8,22,15.0,25,0,30,2,2/2/2,0,0,assets/equipment/short_sword.webp
9sm,Cutlass,水手刀,水手刀,剑,swor,扩展,22,8,21,14.5,25,52,43,2,2/2/2,-30,0,assets/equipment/scimitar.webp
9sb,Shamshir,波斯弯刀,波斯彎刀,剑,swor,扩展,32,10,24,17.0,58,58,35,2,2/2/2,-10,0,assets/equipment/saber.webp
9fc,Tulwar,印度弯刀,印度彎刀,剑,swor,扩展,32,16,35,25.5,70,42,37,2,2/2/2,20,0,assets/equipment/falchion.webp
9cr,Dimensional Blade,次元刃,次元刃,剑,swor,扩展,20,13,35,24.0,85,60,37,6,3/4/6,0,1,assets/equipment/crystal_sword.webp
9bs,Battle Sword,战斗长剑,戰鬥長劍,剑,swor,扩展,32,16,34,25.0,92,43,40,4,3/4/4,0,0,assets/equipment/broad_sword.webp
9ls,Rune Sword,符文剑,符文劍,剑,swor,扩展,44,10,42,26.0,103,79,44,4,3/4/4,-10,1,assets/equipment/long_sword.webp
9wd,Ancient Sword,上古剑,上古劍,剑,swor,扩展,44,18,43,30.5,127,88,49,3,3/3/3,0,1,assets/equipment/war_sword.webp
92h,Espandon,双手重剑,雙手重劍,剑,swor,扩展,44,8,26,17.0,73,61,37,3,3/3/3,0,2,assets/equipment/two_handed_sword.webp
9cm,Dacian Falx,达西安长刀,達西安長刀,剑,swor,扩展,50,13,30,21.5,91,20,42,4,3/4/4,10,2,assets/equipment/claymore.webp
9gs,Tusk Sword,长牙剑,長牙劍,剑,swor,扩展,50,10,37,23.5,104,71,45,4,3/4/4,0,2,assets/equipment/giant_sword.webp
9b9,Gothic Sword,哥德剑,哥德劍,剑,swor,扩展,40,14,40,27.0,113,20,48,4,3/4/4,10,1,assets/equipment/bastard_sword.webp
9fb,Zweihander,日耳曼大剑,日耳曼大劍,剑,swor,扩展,50,19,35,27.0,125,94,49,5,3/4/5,-10,2,assets/equipment/flamberge.webp
9gd,Executioner Sword,处刑剑,處刑劍,剑,swor,扩展,50,24,40,32.0,170,110,54,6,3/4/6,10,2,assets/equipment/great_sword.webp
9dg,Poignard,刺击短剑,刺擊短劍,匕首,knif,扩展,16,6,18,12.0,25,0,31,1,1/1/1,-20,0,assets/equipment/dagger.webp
9di,Rondel,圆柄匕首,圓柄匕首,匕首,knif,扩展,20,10,26,18.0,25,58,36,1,1/1/1,0,0,assets/equipment/dirk.webp
9kr,Cinquedeas,阔身短剑,闊身短劍,匕首,knif,扩展,24,15,31,23.0,25,88,42,3,2/3/3,-20,0,assets/equipment/kriss.webp
9bl,Stilleto,窄刃匕首,窄刃匕首,匕首,knif,扩展,24,19,36,27.5,47,97,46,3,2/3/3,-10,0,assets/equipment/blade.webp
9tk,Battle Dart,战斗飞镖,戰鬥飛鏢,飞刀,tkni,扩展,6,8,16,12.0,25,52,31,2,1/2/2,0,0,assets/equipment/throwing_knife.webp
9ta,Francisca,法兰西飞斧,法蘭西飛斧,投掷斧,taxe,扩展,15,11,22,16.5,25,80,34,2,1/2/2,10,0,assets/equipment/throwing_axe.webp
9bk,War Dart,征战飞镖,征戰飛鏢,飞刀,tkni,扩展,20,6,24,15.0,25,97,39,2,1/2/2,-20,0,assets/equipment/balanced_knife.webp
9b8,Hurlbat,投斧,投斧,投掷斧,taxe,扩展,16,13,27,20.0,25,106,41,6,2/4/6,-10,0,assets/equipment/balanced_axe.webp
9ja,War Javelin,征战标枪,征戰標槍,标枪,jave,扩展,10,6,19,12.5,25,25,30,3,1/2/3,-10,2,assets/equipment/javelin.webp
9pi,Great Pilum,重型标枪,重型標槍,标枪,jave,扩展,12,11,26,18.5,25,88,37,3,1/2/3,0,2,assets/equipment/pilum.webp
9s9,Simbilan,锐矛标枪,銳矛標槍,标枪,jave,扩展,14,8,32,20.0,80,80,40,3,1/2/3,10,2,assets/equipment/short_spear.webp
9gl,Spiculum,尖刃枪,尖刃槍,标枪,jave,扩展,16,13,38,25.5,98,73,46,4,1/2/3,20,2,assets/equipment/glaive.webp
9ts,Harpoon,鱼叉,魚叉,标枪,jave,扩展,18,13,35,24.0,25,118,51,4,1/2/3,-10,2,assets/equipment/throwing_spear.webp
9sr,War Spear,征战长矛,征戰長矛,长矛,spea,扩展,30,10,37,23.5,25,25,33,3,3/3/3,-10,3,assets/equipment/spear.webp
9tr,Fuscina,矛叉,矛叉,长矛,spea,扩展,35,19,37,28.0,77,25,36,4,3/4/4,0,3,assets/equipment/trident.webp
9br,War Fork,征战军叉,征戰軍叉,长矛,spea,扩展,28,16,40,28.0,80,95,41,5,3/4/5,-20,4,assets/equipment/brandistock.webp
9st,Yari,三尖枪,三尖槍,长矛,spea,扩展,28,29,59,44.0,101,0,44,6,3/4/6,0,4,assets/equipment/spetum.webp
9p9,Lance,长枪,長槍,长矛,spea,扩展,25,27,114,70.5,110,88,47,6,3/4/6,20,4,assets/equipment/pike.webp
9b7,Lochaber Axe,钩斧,鉤斧,长柄武器,pole,扩展,50,6,58,32.0,80,0,33,3,3/3/3,10,2,assets/equipment/bardiche.webp
9vo,Bill,长柄锲,長柄鍥,长柄武器,pole,扩展,50,14,53,33.5,95,0,37,4,3/4/4,0,2,assets/equipment/voulge.webp
9s8,Battle Scythe,战斗镰刀,戰鬥鐮刀,长柄武器,pole,扩展,65,18,45,31.5,82,82,40,5,3/4/5,-10,1,assets/equipment/scythe.webp
9pa,Partizan,阔头枪,闊頭槍,长柄武器,pole,扩展,65,34,75,54.5,113,67,35,5,3/4/5,10,3,assets/equipment/poleaxe.webp
9h9,Bec-de-Corbin,渡鸦喙,渡鴉喙,长柄武器,pole,扩展,55,13,85,49.0,133,91,51,6,3/4/6,0,4,assets/equipment/halberd.webp
9wc,Grim Scythe,阴森镰刀,陰森鐮刀,长柄武器,pole,扩展,55,30,70,50.0,140,140,55,6,3/4/6,-10,4,assets/equipment/war_scythe.webp
8ss,Jo Staff,棍杖,棍杖,法杖,staf,扩展,20,6,21,13.5,25,0,30,2,2/2/2,-10,1,assets/equipment/short_staff.webp
8ls,Quarterstaff,长棍,長棍,法杖,staf,扩展,30,8,26,17.0,25,0,35,3,3/3/3,0,1,assets/equipment/long_staff.webp
8cs,Cedar Staff,杉木法杖,杉木法杖,法杖,staf,扩展,35,11,32,21.5,25,0,38,4,4/4/4,10,1,assets/equipment/gnarled_staff.webp
8bs,Gothic Staff,哥德法杖,哥德法杖,法杖,staf,扩展,40,14,34,24.0,25,0,42,4,4/4/4,0,1,assets/equipment/battle_staff.webp
8ws,Rune Staff,符文法杖,符文法杖,法杖,staf,扩展,50,24,58,41.0,25,0,47,6,5/6/6,20,1,assets/equipment/war_staff.webp
8sb,Edge Bow,锐弓,銳弓,弓,bow,扩展,20,6,19,12.5,25,43,30,3,3/3/3,5,0,assets/equipment/short_bow.webp
8hb,Razor Bow,剃刀弓,剃刀弓,弓,bow,扩展,32,8,22,15.0,25,62,33,4,3/4/4,-10,0,assets/equipment/hunters_bow.webp
8lb,Cedar Bow,杉木弓,杉木弓,弓,bow,扩展,28,10,29,19.5,53,49,35,5,3/4/5,0,0,assets/equipment/long_bow.webp
8cb,Double Bow,双曲弓,雙曲弓,弓,bow,扩展,36,11,26,18.5,58,73,39,4,3/4/4,-10,0,assets/equipment/composite_bow.webp
8s8,Short Siege Bow,攻城短弓,攻城短弓,弓,bow,扩展,40,13,30,21.5,65,80,43,5,3/4/5,0,0,assets/equipment/short_battle_bow.webp
8l8,Long Siege Bow,攻城长弓,攻城長弓,弓,bow,扩展,44,10,42,26.0,80,95,46,6,3/4/6,10,0,assets/equipment/long_battle_bow.webp
8sw,Rune Bow,符文弓,符文弓,弓,bow,扩展,48,14,35,24.5,73,103,49,5,3/4/5,0,0,assets/equipment/short_war_bow.webp
8lw,Gothic Bow,哥德弓,哥德弓,弓,bow,扩展,55,10,50,30.0,95,118,52,6,3/4/6,10,0,assets/equipment/long_war_bow.webp
8lx,Arbalest,钢弩,鋼弩,弩,xbow,扩展,30,14,27,20.5,52,61,34,3,3/3/3,-10,0,assets/equipment/light_crossbow.webp
8mx,Siege Crossbow,攻城弩,攻城弩,弩,xbow,扩展,40,20,42,31.0,80,70,40,4,3/4/4,0,0,assets/equipment/crossbow.webp
8hx,Ballista,砲弩,砲弩,弩,xbow,扩展,50,33,55,44.0,110,80,47,6,3/4/6,10,0,assets/equipment/heavy_crossbow.webp
8rx,Chu-Ko-Nu,诸葛弩,諸葛弩,弩,xbow,扩展,40,14,32,23.0,80,95,54,5,3/4/5,-60,0,assets/equipment/repeating_crossbow.webp
ktr,Katar,拳刃,拳刃,拳套,h2h,普通,48,4,7,5.5,20,20,1,2,2/2/2,-10,1,assets/equipment/katar.webp
wrb,Wrist Blade,腕刃,腕刃,拳套,h2h,普通,52,5,9,7.0,33,33,9,2,2/2/2,0,1,assets/equipment/katar.webp
axf,Hatchet Hands,斧手,斧手,拳套,h2h,普通,56,2,15,8.5,37,37,12,2,2/2/2,10,1,assets/equipment/hatchet_hands.webp
ces,Cestus,刃拳,刃拳,拳套,h2h,普通,72,7,15,11.0,42,42,15,2,2/2/2,0,1,assets/equipment/hatchet_hands.webp
clw,Claws,爪,爪,拳套,h2h,普通,64,8,15,11.5,46,46,18,3,2/3/3,-10,1,assets/equipment/claws.webp
btl,Blade Talons,刃爪,刃爪,拳套,h2h,普通,69,10,14,12.0,50,50,21,3,2/3/3,-20,1,assets/equipment/claws.webp
skr,Scissors Katar,剪刃,剪刃,拳套,h2h,普通,68,9,17,13.0,55,55,24,3,2/3/3,-10,1,assets/equipment/scissors_katar.webp
9ar,Quhab,格斗刃,格鬥刃,拳套,h2h,扩展,48,11,24,17.5,57,57,28,3,2/3/3,0,1,assets/equipment/katar.webp
9wb,Wrist Spike,腕刺,腕刺,拳套,h2h,扩展,56,13,27,20.0,66,66,32,2,2/2/2,-10,1,assets/equipment/katar.webp
9xf,Fascia,格斗爪,格鬥爪,拳套,h2h,扩展,64,8,37,22.5,69,69,36,2,2/2/2,10,1,assets/equipment/hatchet_hands.webp
9cs,Hand Scythe,手镰,手鐮,拳套,h2h2,扩展,72,16,37,26.5,73,73,41,2,2/2/2,-10,1,assets/equipment/hatchet_hands.webp
9lw,Greater Claws,巨爪,巨爪,拳套,h2h2,扩展,52,18,37,27.5,76,76,45,3,2/3/3,-20,1,assets/equipment/claws.webp
9tw,Greater Talons,巨鹰爪,巨鷹爪,拳套,h2h2,扩展,69,21,35,28.0,79,79,50,3,2/3/3,-30,1,assets/equipment/claws.webp
9qr,Scissors Quhab,格斗剪刃,格鬥剪刃,拳套,h2h2,扩展,68,19,40,29.5,82,82,54,3,2/3/3,0,1,assets/equipment/scissors_katar.webp
7ar,Suwayyah,穿击拳刃,穿擊拳刃,拳套,h2h2,精英,48,39,52,45.5,99,99,59,3,2/3/3,0,1,assets/equipment/katar.webp
7wb,Wrist Sword,腕剑,腕劍,拳套,h2h2,精英,56,34,45,39.5,105,105,62,3,2/3/3,-10,1,assets/equipment/katar.webp
7xf,War Fist,征战拳套,征戰拳套,拳套,h2h2,精英,64,44,53,48.5,108,108,68,2,2/2/2,10,1,assets/equipment/hatchet_hands.webp
7cs,Battle Cestus,战斗刃拳,戰鬥刃拳,拳套,h2h2,精英,72,36,42,39.0,110,110,73,2,2/2/2,-10,1,assets/equipment/hatchet_hands.webp
7lw,Feral Claws,蛮兽爪,蠻獸爪,拳套,h2h2,精英,52,22,53,37.5,113,113,78,3,2/3/3,-20,1,assets/equipment/claws.webp
7tw,Runic Talons,符纹爪,符紋爪,拳套,h2h2,精英,69,24,44,34.0,115,115,81,3,2/3/3,-30,1,assets/equipment/claws.webp
